Page Order,Semantic Name,Element Type,Logical Name,Playwright Best,Relative XPath,Absolute XPath,CSS Selector,ID Attribute,Name Attribute,Class Name,Coordinates,Dimension,Confidence Score
13,sony_vaio_i7_a,Link,Unknown Context,await page.locator('div#tbodyid > div.col-lg-4 col-md-6 mb-4:nth-of-type(2) > div.card h-100 > a'),"//div[@id='tbodyid']/div[contains(@class, 'col-lg-4 col-md-6 mb-4')][2]/div[contains(@class, 'card h-100')]/a[1]",/html[1]/body[1]/div[5]/div[1]/div[2]/div[1]/div[2]/div[1]/a[1],div#tbodyid > div.col-lg-4 col-md-6 mb-4:nth-of-type(2) > div.card h-100 > a,,,,"(693.484375, 432.296875)",252.984375 × 142.21875,80
14,macbook_air_a,Link,Unknown Context,await page.locator('div#tbodyid > div.col-lg-4 col-md-6 mb-4:nth-of-type(3) > div.card h-100 > a'),"//div[@id='tbodyid']/div[contains(@class, 'col-lg-4 col-md-6 mb-4')][3]/div[contains(@class, 'card h-100')]/a[1]",/html[1]/body[1]/div[5]/div[1]/div[2]/div[1]/div[3]/div[1]/a[1],div#tbodyid > div.col-lg-4 col-md-6 mb-4:nth-of-type(3) > div.card h-100 > a,,,,"(978.46875, 432.296875)",252.984375 × 142.21875,80
15,sony_vaio_i5_phones,Link,Phones - Sony vaio i5,"await page.getByRole('link', name='Phones')",(//a[@id='itemc'])[1],/html[1]/body[1]/div[5]/div[1]/div[1]/div[1]/a[2],a#itemc,itemc,,list-group-item,"(122.5, 493.796875)",255 × 56,90
16,sony_vaio_i5_laptops,Link,Laptops - Sony vaio i5,"await page.getByRole('link', name='Laptops')",(//a[@id='itemc'])[2],/html[1]/body[1]/div[5]/div[1]/div[1]/div[1]/a[3],a#itemc,itemc,,list-group-item,"(122.5, 548.796875)",255 × 56,90
17,sony_vaio_i5,Link,Sony vaio i5,"await page.getByRole('link', name='Sony vaio i5')","//div[@id='tbodyid']/div[contains(@class, 'col-lg-4 col-md-6 mb-4')][1]/div[contains(@class, 'card h-100')]/div[contains(@class, 'card-block')]/h4[contains(@class, 'card-title')][1]/a[contains(@class, 'hrefch')]",/html[1]/body[1]/div[5]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/h4[1]/a[1],div#tbodyid > div.col-lg-4 col-md-6 mb-4 > div.card h-100 > div.card-block > h4.card-title > a.hrefch,,,hrefch,"(428.5, 595.515625)",126.25 × 24,90
18,sony_vaio_i7,Link,Sony vaio i7,"await page.getByRole('link', name='Sony vaio i7')","//div[@id='tbodyid']/div[contains(@class, 'col-lg-4 col-md-6 mb-4')][2]/div[contains(@class, 'card h-100')]/div[contains(@class, 'card-block')]/h4[contains(@class, 'card-title')][1]/a[contains(@class, 'hrefch')]",/html[1]/body[1]/div[5]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/h4[1]/a[1],div#tbodyid > div.col-lg-4 col-md-6 mb-4:nth-of-type(2) > div.card h-100 > div.card-block > h4.card-title > a.hrefch,,,hrefch,"(713.484375, 595.515625)",126.25 × 24,90
19,macbook_air,Link,MacBook air,"await page.getByRole('link', name='MacBook air')","//div[@id='tbodyid']/div[contains(@class, 'col-lg-4 col-md-6 mb-4')][3]/div[contains(@class, 'card h-100')]/div[contains(@class, 'card-block')]/h4[contains(@class, 'card-title')][1]/a[contains(@class, 'hrefch')]",/html[1]/body[1]/div[5]/div[1]/div[2]/div[1]/div[3]/div[1]/div[1]/h4[1]/a[1],div#tbodyid > div.col-lg-4 col-md-6 mb-4:nth-of-type(3) > div.card h-100 > div.card-block > h4.card-title > a.hrefch,,,hrefch,"(998.46875, 595.515625)",132.5 × 24,90
20,sony_vaio_i5_monitors,Link,Monitors - Sony vaio i5,"await page.getByRole('link', name='Monitors')",(//a[@id='itemc'])[3],/html[1]/body[1]/div[5]/div[1]/div[1]/div[1]/a[4],a#itemc,itemc,,list-group-item,"(122.5, 603.796875)",255 × 56,90
21,sony_vaio_i5_790_h5,Interactive Element,$790 - Sony vaio i5,"await page.locator(""div#tbodyid > div.col-lg-4 col-md-6 mb-4 > div.card h-100 > div.card-block > h5"")","//div[@id='tbodyid']/div[contains(@class, 'col-lg-4 col-md-6 mb-4')][1]/div[contains(@class, 'card h-100')]/div[contains(@class, 'card-block')]/h5[1]",/html[1]/body[1]/div[5]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/h5[1],div#tbodyid > div.col-lg-4 col-md-6 mb-4 > div.card h-100 > div.card-block > h5,,,,"(428.5, 632.90625)",212.984375 × 22,85
22,sony_vaio_i7_790_h5,Interactive Element,$790 - Sony vaio i7,await page.getByText('$790').nth(1),"//div[@id='tbodyid']/div[contains(@class, 'col-lg-4 col-md-6 mb-4')][2]/div[contains(@class, 'card h-100')]/div[contains(@class, 'card-block')]/h5[1]",/html[1]/body[1]/div[5]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/h5[1],div#tbodyid > div.col-lg-4 col-md-6 mb-4:nth-of-type(2) > div.card h-100 > div.card-block > h5,,,,"(713.484375, 632.90625)",212.984375 × 22,85
23,macbook_air_700_h5,Interactive Element,$700 - MacBook air,await page.getByText('$700').nth(0),"//div[@id='tbodyid']/div[contains(@class, 'col-lg-4 col-md-6 mb-4')][3]/div[contains(@class, 'card h-100')]/div[contains(@class, 'card-block')]/h5[1]",/html[1]/body[1]/div[5]/div[1]/div[2]/div[1]/div[3]/div[1]/div[1]/h5[1],div#tbodyid > div.col-lg-4 col-md-6 mb-4:nth-of-type(3) > div.card h-100 > div.card-block > h5,,,,"(998.46875, 632.90625)",212.984375 × 22,85
24,dell_i7_8gb_a,Link,Unknown Context,await page.locator('div#tbodyid > div.col-lg-4 col-md-6 mb-4:nth-of-type(4) > div.card h-100 > a'),"//div[@id='tbodyid']/div[contains(@class, 'col-lg-4 col-md-6 mb-4')][4]/div[contains(@class, 'card h-100')]/a[1]",/html[1]/body[1]/div[5]/div[1]/div[2]/div[1]/div[4]/div[1]/a[1],div#tbodyid > div.col-lg-4 col-md-6 mb-4:nth-of-type(4) > div.card h-100 > a,,,,"(408.5, 784.09375)",252.984375 × 142.21875,80
25,2017_dell_15_6_inch_a,Link,Unknown Context,await page.locator('div#tbodyid > div.col-lg-4 col-md-6 mb-4:nth-of-type(5) > div.card h-100 > a'),"//div[@id='tbodyid']/div[contains(@class, 'col-lg-4 col-md-6 mb-4')][5]/div[contains(@class, 'card h-100')]/a[1]",/html[1]/body[1]/div[5]/div[1]/div[2]/div[1]/div[5]/div[1]/a[1],div#tbodyid > div.col-lg-4 col-md-6 mb-4:nth-of-type(5) > div.card h-100 > a,,,,"(693.484375, 784.09375)",252.984375 × 142.21875,80
26,macbook_pro_a,Link,Unknown Context,await page.locator('div#tbodyid > div.col-lg-4 col-md-6 mb-4:nth-of-type(6) > div.card h-100 > a'),"//div[@id='tbodyid']/div[contains(@class, 'col-lg-4 col-md-6 mb-4')][6]/div[contains(@class, 'card h-100')]/a[1]",/html[1]/body[1]/div[5]/div[1]/div[2]/div[1]/div[6]/div[1]/a[1],div#tbodyid > div.col-lg-4 col-md-6 mb-4:nth-of-type(6) > div.card h-100 > a,,,,"(978.46875, 784.09375)",252.984375 × 142.21875,80
27,dell_i7_8gb_a_order_26,Link,Dell i7 8gb,"await page.getByRole('link', name='Dell i7 8gb')","//div[@id='tbodyid']/div[contains(@class, 'col-lg-4 col-md-6 mb-4')][4]/div[contains(@class, 'card h-100')]/div[contains(@class, 'card-block')]/h4[contains(@class, 'card-title')][1]/a[contains(@class, 'hrefch')]",/html[1]/body[1]/div[5]/div[1]/div[2]/div[1]/div[4]/div[1]/div[1]/h4[1]/a[1],div#tbodyid > div.col-lg-4 col-md-6 mb-4:nth-of-type(4) > div.card h-100 > div.card-block > h4.card-title > a.hrefch,,,hrefch,"(428.5, 947.3125)",113.90625 × 24,90
28,2017_dell_15_6_inch_a_order_27,Link,2017 Dell 15.6 Inch,"await page.getByRole('link', name='2017 Dell 15.6 Inch')","//div[@id='tbodyid']/div[contains(@class, 'col-lg-4 col-md-6 mb-4')][5]/div[contains(@class, 'card h-100')]/div[contains(@class, 'card-block')]/h4[contains(@class, 'card-title')][1]/a[contains(@class, 'hrefch')]",/html[1]/body[1]/div[5]/div[1]/div[2]/div[1]/div[5]/div[1]/div[1]/h4[1]/a[1],div#tbodyid > div.col-lg-4 col-md-6 mb-4:nth-of-type(5) > div.card h-100 > div.card-block > h4.card-title > a.hrefch,,,hrefch,"(713.484375, 947.3125)",208.40625 × 24,90
29,macbook_pro,Link,MacBook Pro,"await page.getByRole('link', name='MacBook Pro')","//div[@id='tbodyid']/div[contains(@class, 'col-lg-4 col-md-6 mb-4')][6]/div[contains(@class, 'card h-100')]/div[contains(@class, 'card-block')]/h4[contains(@class, 'card-title')][1]/a[contains(@class, 'hrefch')]",/html[1]/body[1]/div[5]/div[1]/div[2]/div[1]/div[6]/div[1]/div[1]/h4[1]/a[1],div#tbodyid > div.col-lg-4 col-md-6 mb-4:nth-of-type(6) > div.card h-100 > div.card-block > h4.card-title > a.hrefch,,,hrefch,"(998.46875, 947.3125)",142.109375 × 24,90
30,dell_i7_8gb_700_h5,Interactive Element,$700 - Dell i7 8gb,await page.getByText('$700').nth(1),"//div[@id='tbodyid']/div[contains(@class, 'col-lg-4 col-md-6 mb-4')][4]/div[contains(@class, 'card h-100')]/div[contains(@class, 'card-block')]/h5[1]",/html[1]/body[1]/div[5]/div[1]/div[2]/div[1]/div[4]/div[1]/div[1]/h5[1],div#tbodyid > div.col-lg-4 col-md-6 mb-4:nth-of-type(4) > div.card h-100 > div.card-block > h5,,,,"(428.5, 984.703125)",212.984375 × 22,85
31,2017_dell_15_6_inch_700_h5,Interactive Element,$700 - 2017 Dell 15.6 Inch,await page.getByText('$700').nth(2),"//div[@id='tbodyid']/div[contains(@class, 'col-lg-4 col-md-6 mb-4')][5]/div[contains(@class, 'card h-100')]/div[contains(@class, 'card-block')]/h5[1]",/html[1]/body[1]/div[5]/div[1]/div[2]/div[1]/div[5]/div[1]/div[1]/h5[1],div#tbodyid > div.col-lg-4 col-md-6 mb-4:nth-of-type(5) > div.card h-100 > div.card-block > h5,,,,"(713.484375, 984.703125)",212.984375 × 22,85
32,macbook_pro_1100_h5,Interactive Element,$1100 - MacBook Pro,await page.getByText('$1100'),"//div[@id='tbodyid']/div[contains(@class, 'col-lg-4 col-md-6 mb-4')][6]/div[contains(@class, 'card h-100')]/div[contains(@class, 'card-block')]/h5[1]",/html[1]/body[1]/div[5]/div[1]/div[2]/div[1]/div[6]/div[1]/div[1]/h5[1],div#tbodyid > div.col-lg-4 col-md-6 mb-4:nth-of-type(6) > div.card h-100 > div.card-block > h5,,,,"(998.46875, 984.703125)",212.984375 × 22,85
33,sony_vaio_i5_previous_button,Button,Previous - Sony vaio i5,"await page.getByRole('button', name='Previous')",//button[@id='prev2'],/html[1]/body[1]/div[5]/div[1]/div[2]/form[1]/ul[1]/li[1]/button[1],button#prev2,prev2,,page-link,"(1094.296875, 1134.890625)",83.046875 × 36.328125,90
34,sony_vaio_i5_next_button,Button,Next - Sony vaio i5,"await page.getByRole('button', name='Next')",//button[@id='next2'],/html[1]/body[1]/div[5]/div[1]/div[2]/form[1]/ul[1]/li[2]/button[1],button#next2,next2,,page-link,"(1176.34375, 1134.890625)",56.15625 × 36.328125,90
35,about_us_h4,Interactive Element,About Us,await page.getByText('About Us'),"//div[@id='fotcont']/div[contains(@class, 'col-sm-4 col-lg-4 col-md-4')][1]/div[contains(@class, 'thumbnail')]/div[contains(@class, 'caption')]/h4[contains(@class, 'grrrr')][1]",/html[1]/body[1]/div[6]/div[1]/div[1]/div[1]/div[1]/h4[1],div#fotcont > div.col-sm-4 col-lg-4 col-md-4 > div.thumbnail > div.caption > h4.grrrr,,,grrrr,"(151.5, 1236.21875)",379.5 × 26.390625,85
36,about_us_get_in_touch_h4,Interactive Element,Get in Touch - About Us,await page.getByText('Get in Touch'),"//div[@id='fotcont']/div[contains(@class, 'col-sm-3 col-lg-3 col-md-3')][2]/div[contains(@class, 'thumbnail')]/div[contains(@class, 'caption')]/h4[contains(@class, 'grrrr')][1]",/html[1]/body[1]/div[6]/div[1]/div[2]/div[1]/div[1]/h4[1],div#fotcont > div.col-sm-3 col-lg-3 col-md-3:nth-of-type(2) > div.thumbnail > div.caption > h4.grrrr,,,grrrr,"(563, 1236.21875)",276.625 × 26.390625,85
37,about_us_product_store_h4,Interactive Element,PRODUCT STORE - About Us,await page.getByText('PRODUCT STORE'),"//div[@id='fotcont']/div[contains(@class, 'col-sm-4 col-lg-4 col-md-4')][3]/div[contains(@class, 'thumbnail')]/div[contains(@class, 'caption')]/h4",/html[1]/body[1]/div[6]/div[1]/div[3]/div[1]/div[1]/h4[1],div#fotcont > div.col-sm-4 col-lg-4 col-md-4:nth-of-type(3) > div.thumbnail > div.caption > h4,,,,"(871.625, 1236.21875)",379.5 × 50,85
