Page Order,Semantic Name,Element Type,Logical Name,Playwright Best,Relative XPath,Absolute XPath,CSS Selector,ID Attribute,Name Attribute,Class Name,Coordinates,Dimension,Confidence Score
11,gift_cards,Link,Gift Cards,"await page.getByRole('link', name='Gift Cards')","//div[@id='nav-xshop']/ul[contains(@class, 'nav-ul')][1]/li[contains(@class, 'nav-li')][2]/div[contains(@class, 'nav-div')]/a[contains(@class, 'nav-a  ')]",/html[1]/body[1]/div[1]/header[1]/div[1]/div[5]/div[2]/div[1]/div[1]/ul[1]/li[2]/div[1]/a[1],div#nav-xshop > ul.nav-ul > li.nav-li:nth-of-type(2) > div.nav-div > a.nav-a  ,,,nav-a  ,"(187.609375, 65)",73.015625 × 28,90
12,sell_a,Link,Sell,"await page.getByRole('link', name='Sell')","//div[@id='nav-xshop']/ul[contains(@class, 'nav-ul')][1]/li[contains(@class, 'nav-li')][3]/div[contains(@class, 'nav-div')]/a[contains(@class, 'nav-a  ')]",/html[1]/body[1]/div[1]/header[1]/div[1]/div[5]/div[2]/div[1]/div[1]/ul[1]/li[3]/div[1]/a[1],div#nav-xshop > ul.nav-ul > li.nav-li:nth-of-type(3) > div.nav-div > a.nav-a  ,,,nav-a  ,"(270.625, 65)",33.359375 × 28,90
13,registry_a,Link,Registry,"await page.getByRole('link', name='Registry')","//div[@id='nav-xshop']/ul[contains(@class, 'nav-ul')][1]/li[contains(@class, 'nav-li')][4]/div[contains(@class, 'nav-div')]/a[contains(@class, 'nav-a  ')]",/html[1]/body[1]/div[1]/header[1]/div[1]/div[5]/div[2]/div[1]/div[1]/ul[1]/li[4]/div[1]/a[1],div#nav-xshop > ul.nav-ul > li.nav-li:nth-of-type(4) > div.nav-div > a.nav-a  ,,,nav-a  ,"(313.984375, 65)",61.359375 × 28,90
14,prime_video_a,Link,Prime Video,"await page.getByRole('link', name='Prime Video')","//div[@id='nav-xshop']/ul[contains(@class, 'nav-ul')][1]/li[contains(@class, 'nav-li')][5]/div[contains(@class, 'nav-div')]/a[contains(@class, 'nav-a  ')]",/html[1]/body[1]/div[1]/header[1]/div[1]/div[5]/div[2]/div[1]/div[1]/ul[1]/li[5]/div[1]/a[1],div#nav-xshop > ul.nav-ul > li.nav-li:nth-of-type(5) > div.nav-div > a.nav-a  ,,,nav-a  ,"(385.34375, 65)",86.015625 × 28,90
15,customer_service_a,Link,Customer Service,"await page.getByRole('link', name='Customer Service')","//div[@id='nav-xshop']/ul[contains(@class, 'nav-ul')][1]/li[contains(@class, 'nav-li')][6]/div[contains(@class, 'nav-div')]/a[contains(@class, 'nav-a  ')]",/html[1]/body[1]/div[1]/header[1]/div[1]/div[5]/div[2]/div[1]/div[1]/ul[1]/li[6]/div[1]/a[1],div#nav-xshop > ul.nav-ul > li.nav-li:nth-of-type(6) > div.nav-div > a.nav-a  ,,,nav-a  ,"(481.359375, 65)",121.265625 × 28,90
16,previous_slide_a,Link,Previous slide,"await page.getByRole('link', name='Previous slide')","//div[@id='gw-desktop-herotator']/div[contains(@class, 'a-begin a-carousel-container a-carousel-display-single a-carousel-transition-slideCircular gw-desktop-herotator a-carousel-initialized')]/div[contains(@class, 'a-row a-carousel-controls a-carousel-row a-carousel-has-buttons a-carousel-overlay-buttons a-carousel-rounded-buttons')][1]/div[contains(@class, 'a-carousel-row-inner')]/div[contains(@class, 'a-carousel-col a-carousel-left celwidget')][1]/a[contains(@class, 'a-carousel-goto-prevpage')]",/html[1]/body[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/a[1],div#gw-desktop-herotator > div.a-begin a-carousel-container a-carousel-display-single a-carousel-transition-slideCircular gw-desktop-herotator a-carousel-initialized > div.a-row a-carousel-controls a-carousel-row a-carousel-has-buttons a-carousel-overlay-buttons a-carousel-rounded-buttons > div.a-carousel-row-inner > div.a-carousel-col a-carousel-left celwidget > a.a-carousel-goto-prevpage,,,a-carousel-goto-prevpage,"(194.5, 99)",84 × 250,90
17,next_slide_a,Link,Next slide,"await page.getByRole('link', name='Next slide')","//div[@id='gw-desktop-herotator']/div[contains(@class, 'a-begin a-carousel-container a-carousel-display-single a-carousel-transition-slideCircular gw-desktop-herotator a-carousel-initialized')]/div[contains(@class, 'a-row a-carousel-controls a-carousel-row a-carousel-has-buttons a-carousel-overlay-buttons a-carousel-rounded-buttons')][1]/div[contains(@class, 'a-carousel-row-inner')]/div[contains(@class, 'a-carousel-col a-carousel-right celwidget')][3]/a[contains(@class, 'a-carousel-goto-nextpage')]",/html[1]/body[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[3]/a[1],div#gw-desktop-herotator > div.a-begin a-carousel-container a-carousel-display-single a-carousel-transition-slideCircular gw-desktop-herotator a-carousel-initialized > div.a-row a-carousel-controls a-carousel-row a-carousel-has-buttons a-carousel-overlay-buttons a-carousel-rounded-buttons > div.a-carousel-row-inner > div.a-carousel-col a-carousel-right celwidget:nth-of-type(3) > a.a-carousel-goto-nextpage,,,a-carousel-goto-nextpage,"(1610.5, 99)",84 × 250,90
18,dismiss_input,Input Field,Unknown Context,await page.locator('div#nav-flyout-iss-anchor > div.a-section glow-toaster glow-toaster-theme-default glow-toaster-slot-default nav-coreFlyout nav-flyout:nth-of-type(2) > div.glow-toaster-content > div.glow-toaster-footer:nth-of-type(3) > span.a-button a-spacing-top-base a-button-base glow-toaster-button glow-toaster-button-dismiss > span.a-button-inner > input.a-button-input'),"//div[@id='nav-flyout-iss-anchor']/div[contains(@class, 'a-section glow-toaster glow-toaster-theme-default glow-toaster-slot-default nav-coreFlyout nav-flyout')][2]/div[contains(@class, 'glow-toaster-content')]/div[contains(@class, 'glow-toaster-footer')][3]/span[contains(@class, 'a-button a-spacing-top-base a-button-base glow-toaster-button glow-toaster-button-dismiss')][1]/span[contains(@class, 'a-button-inner')]/input[contains(@class, 'a-button-input')][1]",/html[1]/body[1]/div[1]/header[1]/div[1]/div[2]/div[2]/div[1]/div[3]/span[1]/span[1]/input[1],div#nav-flyout-iss-anchor > div.a-section glow-toaster glow-toaster-theme-default glow-toaster-slot-default nav-coreFlyout nav-flyout:nth-of-type(2) > div.glow-toaster-content > div.glow-toaster-footer:nth-of-type(3) > span.a-button a-spacing-top-base a-button-base glow-toaster-button glow-toaster-button-dismiss > span.a-button-inner > input.a-button-input,,,a-button-input,"(341.84375, 129)",71 × 30,80
19,change_address_input,Input Field,Unknown Context,await page.locator('div#nav-flyout-iss-anchor > div.a-section glow-toaster glow-toaster-theme-default glow-toaster-slot-default nav-coreFlyout nav-flyout:nth-of-type(2) > div.glow-toaster-content > div.glow-toaster-footer:nth-of-type(3) > span.a-button a-spacing-top-base a-button-primary glow-toaster-button glow-toaster-button-submit:nth-of-type(2) > span.a-button-inner > input.a-button-input'),"//div[@id='nav-flyout-iss-anchor']/div[contains(@class, 'a-section glow-toaster glow-toaster-theme-default glow-toaster-slot-default nav-coreFlyout nav-flyout')][2]/div[contains(@class, 'glow-toaster-content')]/div[contains(@class, 'glow-toaster-footer')][3]/span[contains(@class, 'a-button a-spacing-top-base a-button-primary glow-toaster-button glow-toaster-button-submit')][2]/span[contains(@class, 'a-button-inner')]/input[contains(@class, 'a-button-input')][1]",/html[1]/body[1]/div[1]/header[1]/div[1]/div[2]/div[2]/div[1]/div[3]/span[2]/span[1]/input[1],div#nav-flyout-iss-anchor > div.a-section glow-toaster glow-toaster-theme-default glow-toaster-slot-default nav-coreFlyout nav-flyout:nth-of-type(2) > div.glow-toaster-content > div.glow-toaster-footer:nth-of-type(3) > span.a-button a-spacing-top-base a-button-primary glow-toaster-button glow-toaster-button-submit:nth-of-type(2) > span.a-button-inner > input.a-button-input,,,a-button-input,"(428.46875, 129)",125.53125 × 30,80
20,click_here_to_go_to_amazon_in,Link,Click here to go to amazon.in - Get your game on,"await page.getByRole('link', name='Click here to go to amazon.in')","//div[@id='CardInstanceuRPZw45m6h7lsFQtc9N6Gw']/a[contains(@class, 'a-size-base a-link-normal')]",/html[1]/body[1]/div[1]/div[1]/div[2]/div[1]/div[1]/a[1],div#CardInstanceuRPZw45m6h7lsFQtc9N6Gw > a.a-size-base a-link-normal,,,a-size-base a-link-normal,"(1189.640625, 361)",181.328125 × 16,90
21,get_your_game_on_shop_gaming_shop_gaming_get_your,Interactive Element,"Get your game on - Get your game on
Shop gaming
Shop gaming",await page.getByText('Get your game on'),"//div[@id='CardInstanced9OycGw9CsHIodByTjdNuQ']/div[contains(@class, 'a-cardui-header')][1]/h2[contains(@class, 'a-color-base headline truncate-2line')]",/html[1]/body[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/h2[1],div#CardInstanced9OycGw9CsHIodByTjdNuQ > div.a-cardui-header > h2.a-color-base headline truncate-2line,,,a-color-base headline truncate-2line,"(234.5, 429)",310 × 27.296875,85
22,get_your_game_on_shop_fashion_for_less_h2,Interactive Element,Shop Fashion for less - Get your game on,await page.getByText('Shop Fashion for less'),"//div[@id='CardInstanceE3bVnLEDJdcyYzSI0RyTKw']/div[contains(@class, 'a-cardui-header')][1]/h2[contains(@class, 'a-color-base headline truncate-2line')]",/html[1]/body[1]/div[1]/div[1]/div[2]/div[2]/div[2]/div[1]/div[1]/h2[1],div#CardInstanceE3bVnLEDJdcyYzSI0RyTKw > div.a-cardui-header > h2.a-color-base headline truncate-2line,,,a-color-base headline truncate-2line,"(604.5, 429)",310 × 27.296875,85
23,top_categories_in_kitchen_appliances_top_h2,Interactive Element,"Top categories in Kitchen appliances
Top categories in Kitchen appliances - Get your game on",await page.locator('div#CardInstanceGR2v2JSH0RFTEQzyiRvJKw > div.a-cardui-header > h2.a-color-base headline'),"//div[@id='CardInstanceGR2v2JSH0RFTEQzyiRvJKw']/div[contains(@class, 'a-cardui-header')][1]/h2[contains(@class, 'a-color-base headline')]",/html[1]/body[1]/div[1]/div[1]/div[2]/div[2]/div[3]/div[1]/div[1]/h2[1],div#CardInstanceGR2v2JSH0RFTEQzyiRvJKw > div.a-cardui-header > h2.a-color-base headline,,,a-color-base headline,"(974.5, 429)",310 × 54.59375,80
24,grilling_must_haves_for_dads_h2,Interactive Element,Grilling must-haves for Dads - Get your game on,await page.getByText('Grilling must-haves for Dads'),"//div[@id='CardInstancezF3z5KITJ1rJNTF0hy4j3A']/div[contains(@class, 'a-cardui-header')][1]/h2[contains(@class, 'a-color-base headline truncate-2line')]",/html[1]/body[1]/div[1]/div[1]/div[2]/div[2]/div[4]/div[1]/div[1]/h2[1],div#CardInstancezF3z5KITJ1rJNTF0hy4j3A > div.a-cardui-header > h2.a-color-base headline truncate-2line,,,a-color-base headline truncate-2line,"(1344.5, 429)",310 × 27.296875,85
25,get_your_game_on_img,Interactive Element,Get your game on,await page.locator('div#CardInstanced9OycGw9CsHIodByTjdNuQ > a.a-link-normal _Zmx1a_bodyFooterLink_9LvH0 > div.a-section _Zmx1a_fluidImageContainer_2vGwp > div.a-section a-spacing-none _Zmx1a_fluidImageContainer_2SOMr > img._Zmx1a_fluidLandscapeImage_2euAK _Zmx1a_fluidImage_gTBjA'),"//div[@id='CardInstanced9OycGw9CsHIodByTjdNuQ']/a[contains(@class, 'a-link-normal _Zmx1a_bodyFooterLink_9LvH0')]/div[contains(@class, 'a-section _Zmx1a_fluidImageContainer_2vGwp')][1]/div[contains(@class, 'a-section a-spacing-none _Zmx1a_fluidImageContainer_2SOMr')]/img[contains(@class, '_Zmx1a_fluidLandscapeImage_2euAK _Zmx1a_fluidImage_gTBjA')]",/html[1]/body[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/a[1]/div[1]/div[1]/img[1],div#CardInstanced9OycGw9CsHIodByTjdNuQ > a.a-link-normal _Zmx1a_bodyFooterLink_9LvH0 > div.a-section _Zmx1a_fluidImageContainer_2vGwp > div.a-section a-spacing-none _Zmx1a_fluidImageContainer_2SOMr > img._Zmx1a_fluidLandscapeImage_2euAK _Zmx1a_fluidImage_gTBjA,,,_Zmx1a_fluidLandscapeImage_2euAK _Zmx1a_fluidImage_gTBjA,"(200.1875, 466.296875)",378.625 × 303.703125,80
26,get_your_game_on_shop_gaming_shop_gaming,Link,"Shop gaming
Shop gaming - Get your game on","await page.getByRole('link', name='Shop gaming
Shop gaming')","//div[@id='CardInstanced9OycGw9CsHIodByTjdNuQ']/a[contains(@class, 'a-link-normal _Zmx1a_bodyFooterLink_9LvH0')]",/html[1]/body[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/a[1],div#CardInstanced9OycGw9CsHIodByTjdNuQ > a.a-link-normal _Zmx1a_bodyFooterLink_9LvH0,,,a-link-normal _Zmx1a_bodyFooterLink_9LvH0,"(234.5, 466.296875)",310 × 347.703125,90
27,shop_fashion_for_less_jeans_under_50,Link,Jeans under $50 - Shop Fashion for less,await page.getByLabel('Jeans under $50'),"//div[@id='CardInstanceE3bVnLEDJdcyYzSI0RyTKw']/div[contains(@class, '_Zmx1a_fluidQuadImageLabelBody_3tld0')][2]/div[contains(@class, 'a-section a-spacing-small _Zmx1a_gridRowOne_1t0zL')][1]/div[contains(@class, 'a-section a-spacing-none _Zmx1a_quadrantContainer_3TMqG _Zmx1a_leftQuadrant_21nVp')][1]/a[contains(@class, 'a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window')]",/html[1]/body[1]/div[1]/div[1]/div[2]/div[2]/div[2]/div[1]/div[2]/div[1]/div[1]/a[1],div#CardInstanceE3bVnLEDJdcyYzSI0RyTKw > div._Zmx1a_fluidQuadImageLabelBody_3tld0:nth-of-type(2) > div.a-section a-spacing-small _Zmx1a_gridRowOne_1t0zL > div.a-section a-spacing-none _Zmx1a_quadrantContainer_3TMqG _Zmx1a_leftQuadrant_21nVp > a.a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window,,,a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window,"(604.5, 466.296875)",147.25 × 115.84375,95
28,shop_fashion_for_less_tops_under_25,Link,Tops under $25 - Shop Fashion for less,await page.getByLabel('Tops under $25'),"//div[@id='CardInstanceE3bVnLEDJdcyYzSI0RyTKw']/div[contains(@class, '_Zmx1a_fluidQuadImageLabelBody_3tld0')][2]/div[contains(@class, 'a-section a-spacing-small _Zmx1a_gridRowOne_1t0zL')][1]/div[contains(@class, 'a-section a-spacing-none _Zmx1a_quadrantContainer_3TMqG _Zmx1a_rightQuadrant_PI01n')][2]/a[contains(@class, 'a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window')]",/html[1]/body[1]/div[1]/div[1]/div[2]/div[2]/div[2]/div[1]/div[2]/div[1]/div[2]/a[1],div#CardInstanceE3bVnLEDJdcyYzSI0RyTKw > div._Zmx1a_fluidQuadImageLabelBody_3tld0:nth-of-type(2) > div.a-section a-spacing-small _Zmx1a_gridRowOne_1t0zL > div.a-section a-spacing-none _Zmx1a_quadrantContainer_3TMqG _Zmx1a_rightQuadrant_PI01n:nth-of-type(2) > a.a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window,,,a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window,"(767.25, 466.296875)",147.25 × 115.84375,95
29,grilling_must_haves_for_dads_grilling_pans,Link,Grilling pans - Grilling must-haves for Dads,await page.getByLabel('Grilling pans'),"//div[@id='CardInstancezF3z5KITJ1rJNTF0hy4j3A']/div[contains(@class, '_Zmx1a_fluidQuadImageLabelBody_3tld0')][2]/div[contains(@class, 'a-section a-spacing-small _Zmx1a_gridRowOne_1t0zL')][1]/div[contains(@class, 'a-section a-spacing-none _Zmx1a_quadrantContainer_3TMqG _Zmx1a_leftQuadrant_21nVp')][1]/a[contains(@class, 'a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window')]",/html[1]/body[1]/div[1]/div[1]/div[2]/div[2]/div[4]/div[1]/div[2]/div[1]/div[1]/a[1],div#CardInstancezF3z5KITJ1rJNTF0hy4j3A > div._Zmx1a_fluidQuadImageLabelBody_3tld0:nth-of-type(2) > div.a-section a-spacing-small _Zmx1a_gridRowOne_1t0zL > div.a-section a-spacing-none _Zmx1a_quadrantContainer_3TMqG _Zmx1a_leftQuadrant_21nVp > a.a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window,,,a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window,"(1344.5, 466.296875)",147.25 × 115.84375,95
30,grilling_must_haves_for_dads_aprons,Link,Aprons - Grilling must-haves for Dads,await page.getByLabel('Aprons'),"//div[@id='CardInstancezF3z5KITJ1rJNTF0hy4j3A']/div[contains(@class, '_Zmx1a_fluidQuadImageLabelBody_3tld0')][2]/div[contains(@class, 'a-section a-spacing-small _Zmx1a_gridRowOne_1t0zL')][1]/div[contains(@class, 'a-section a-spacing-none _Zmx1a_quadrantContainer_3TMqG _Zmx1a_rightQuadrant_PI01n')][2]/a[contains(@class, 'a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window')]",/html[1]/body[1]/div[1]/div[1]/div[2]/div[2]/div[4]/div[1]/div[2]/div[1]/div[2]/a[1],div#CardInstancezF3z5KITJ1rJNTF0hy4j3A > div._Zmx1a_fluidQuadImageLabelBody_3tld0:nth-of-type(2) > div.a-section a-spacing-small _Zmx1a_gridRowOne_1t0zL > div.a-section a-spacing-none _Zmx1a_quadrantContainer_3TMqG _Zmx1a_rightQuadrant_PI01n:nth-of-type(2) > a.a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window,,,a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window,"(1507.25, 466.296875)",147.25 × 115.84375,95
31,get_your_game_on_cooker_cooker,Link,"Cooker
Cooker - Get your game on",await page.getByLabel('Cooker'),"//div[@id='CardInstanceGR2v2JSH0RFTEQzyiRvJKw']/div[contains(@class, 'a-cardui-body _quad-category-card_desktopStyle_cardBody__3Rdh1 _quad-category-card_fluid_fluidCardBody__3TzJ4')][2]/div[contains(@class, 'a-section a-spacing-none _quad-category-card_desktopStyle_heroCategory__3KS3k')][1]/a[contains(@class, 'a-link-normal aok-block _quad-category-card_desktopStyle_heroLink__1EhW2 a-text-normal')]",/html[1]/body[1]/div[1]/div[1]/div[2]/div[2]/div[3]/div[1]/div[2]/div[1]/a[1],div#CardInstanceGR2v2JSH0RFTEQzyiRvJKw > div.a-cardui-body _quad-category-card_desktopStyle_cardBody__3Rdh1 _quad-category-card_fluid_fluidCardBody__3TzJ4:nth-of-type(2) > div.a-section a-spacing-none _quad-category-card_desktopStyle_heroCategory__3KS3k > a.a-link-normal aok-block _quad-category-card_desktopStyle_heroLink__1EhW2 a-text-normal,,,a-link-normal aok-block _quad-category-card_desktopStyle_heroLink__1EhW2 a-text-normal,"(974.5, 493.59375)",310 × 164.90625,95
32,shop_fashion_for_less_dresses_under_30,Link,Dresses under $30 - Shop Fashion for less,await page.getByLabel('Dresses under $30'),"//div[@id='CardInstanceE3bVnLEDJdcyYzSI0RyTKw']/div[contains(@class, '_Zmx1a_fluidQuadImageLabelBody_3tld0')][2]/div[contains(@class, 'a-section _Zmx1a_gridRowTwo_15woW')][2]/div[contains(@class, 'a-section a-spacing-none _Zmx1a_quadrantContainer_3TMqG _Zmx1a_leftQuadrant_21nVp')][1]/a[contains(@class, 'a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window')]",/html[1]/body[1]/div[1]/div[1]/div[2]/div[2]/div[2]/div[1]/div[2]/div[2]/div[1]/a[1],div#CardInstanceE3bVnLEDJdcyYzSI0RyTKw > div._Zmx1a_fluidQuadImageLabelBody_3tld0:nth-of-type(2) > div.a-section _Zmx1a_gridRowTwo_15woW:nth-of-type(2) > div.a-section a-spacing-none _Zmx1a_quadrantContainer_3TMqG _Zmx1a_leftQuadrant_21nVp > a.a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window,,,a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window,"(604.5, 626.140625)",147.25 × 115.84375,95
33,shop_fashion_for_less_shoes_under_50,Link,Shoes under $50 - Shop Fashion for less,await page.getByLabel('Shoes under $50'),"//div[@id='CardInstanceE3bVnLEDJdcyYzSI0RyTKw']/div[contains(@class, '_Zmx1a_fluidQuadImageLabelBody_3tld0')][2]/div[contains(@class, 'a-section _Zmx1a_gridRowTwo_15woW')][2]/div[contains(@class, 'a-section a-spacing-none _Zmx1a_quadrantContainer_3TMqG _Zmx1a_rightQuadrant_PI01n')][2]/a[contains(@class, 'a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window')]",/html[1]/body[1]/div[1]/div[1]/div[2]/div[2]/div[2]/div[1]/div[2]/div[2]/div[2]/a[1],div#CardInstanceE3bVnLEDJdcyYzSI0RyTKw > div._Zmx1a_fluidQuadImageLabelBody_3tld0:nth-of-type(2) > div.a-section _Zmx1a_gridRowTwo_15woW:nth-of-type(2) > div.a-section a-spacing-none _Zmx1a_quadrantContainer_3TMqG _Zmx1a_rightQuadrant_PI01n:nth-of-type(2) > a.a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window,,,a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window,"(767.25, 626.140625)",147.25 × 115.84375,95
34,grilling_must_haves_for_dads_grilling_tools,Link,Grilling tools - Grilling must-haves for Dads,await page.getByLabel('Grilling tools'),"//div[@id='CardInstancezF3z5KITJ1rJNTF0hy4j3A']/div[contains(@class, '_Zmx1a_fluidQuadImageLabelBody_3tld0')][2]/div[contains(@class, 'a-section _Zmx1a_gridRowTwo_15woW')][2]/div[contains(@class, 'a-section a-spacing-none _Zmx1a_quadrantContainer_3TMqG _Zmx1a_leftQuadrant_21nVp')][1]/a[contains(@class, 'a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window')]",/html[1]/body[1]/div[1]/div[1]/div[2]/div[2]/div[4]/div[1]/div[2]/div[2]/div[1]/a[1],div#CardInstancezF3z5KITJ1rJNTF0hy4j3A > div._Zmx1a_fluidQuadImageLabelBody_3tld0:nth-of-type(2) > div.a-section _Zmx1a_gridRowTwo_15woW:nth-of-type(2) > div.a-section a-spacing-none _Zmx1a_quadrantContainer_3TMqG _Zmx1a_leftQuadrant_21nVp > a.a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window,,,a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window,"(1344.5, 626.140625)",147.25 × 115.84375,95
35,grilling_must_haves_for_dads_gloves,Link,Gloves - Grilling must-haves for Dads,await page.getByLabel('Gloves'),"//div[@id='CardInstancezF3z5KITJ1rJNTF0hy4j3A']/div[contains(@class, '_Zmx1a_fluidQuadImageLabelBody_3tld0')][2]/div[contains(@class, 'a-section _Zmx1a_gridRowTwo_15woW')][2]/div[contains(@class, 'a-section a-spacing-none _Zmx1a_quadrantContainer_3TMqG _Zmx1a_rightQuadrant_PI01n')][2]/a[contains(@class, 'a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window')]",/html[1]/body[1]/div[1]/div[1]/div[2]/div[2]/div[4]/div[1]/div[2]/div[2]/div[2]/a[1],div#CardInstancezF3z5KITJ1rJNTF0hy4j3A > div._Zmx1a_fluidQuadImageLabelBody_3tld0:nth-of-type(2) > div.a-section _Zmx1a_gridRowTwo_15woW:nth-of-type(2) > div.a-section a-spacing-none _Zmx1a_quadrantContainer_3TMqG _Zmx1a_rightQuadrant_PI01n:nth-of-type(2) > a.a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window,,,a-link-normal _Zmx1a_centerImage_30wh- aok-block image-window,"(1507.25, 626.140625)",147.25 × 115.84375,95
